Consent,Prior coding experience,Frequency of AI use in this course ,Helpfulness of generative AI  [Suggesting R code to solve problems],Helpfulness of generative AI  [Explaining R code syntax and logic],Helpfulness of generative AI  [Improving code comments and readability],Helpfulness of generative AI  [Brainstorming research questions with NEON metagenomic data],"Helpfulness of generative AI  [‘Vibe code’: generating statistical, network, or other advanced analyses]",Helpfulness of generative AI  [Data wrangling with MAG taxonomy + genome properties + soil chemistry],"Helpfulness of generative AI  [Understanding outputs (plots, statistics, model diagnostics)]",Helpfulness of generative AI  [Using RStudio via OpenOnDemand on the HPC],Could you give short examples of a helpful AI response,Could you give short examples of unhelpful or incorrect AI responses ,Impact on learning [AI made learning R easier],Impact on learning [AI helped me understand R syntax and functions],Impact on learning [AI increased my confidence in writing R code],Impact on learning [AI helped me learn from errors more efficiently],Impact on learning [AI encouraged me to try more complex tasks than I would have otherwise],Impact on metagenomics learning  [AI improved my understanding of MAG taxonomy],Impact on metagenomics learning  [AI helped connect genome properties with soil chemistry],Impact on metagenomics learning  [AI improved my ability to form testable questions using NEON data], Impact on metagenomics learning  [AI helped me interpret R outputs for metagenomics],Impact on metagenomics learning  [AI improved my overall conceptual grasp of metagenomics],Confidence change in programming in R,How much time did using AI save me,Code quality outcomes using AI [My code became more correct (fewer errors)],"Code quality outcomes using AI [My code became more readable (better comments, structure)]",Code quality outcomes using AI [My code became more efficient (faster/simpler)],"Code quality outcomes using AI [My analyses became more reproducible (clear steps, scripts)]",Code quality outcomes using AI [I relied on AI but still validated results],Frequency of incorrect AI output ,"When AI was wrong, I typically… ",Common issues encountered ,Trust calibration [I can usually tell when AI is wrong],Trust calibration [I know how to verify AI-generated code],Trust calibration [AI responses are transparent about uncertainty/limitations],Trust calibration [AI sometimes overstates confidence in its answers],Ethical alignment  [Using AI in this course felt appropriate and ethical],Ethical alignment  [Clear guidelines were provided for AI use],"Ethical alignment  [AI use encouraged learning, not shortcuts]",Ethical alignment  [I understand when/how to credit AI assistance],Did you become more engaged or interactive in solving problems using AI?,Inquiry & exploration [AI helped me identify novel questions using NEON geographic variation],Inquiry & exploration [AI helped me connect MAGs to environmental gradients],Inquiry & exploration [AI exposed me to new analytical methods],Inquiry & exploration [AI helped me scope feasible workflows for our data]," ""Vibe code"" outcomes [AI-generated advanced code was runnable in our environment]"," ""Vibe code"" outcomes [I understood at least the core idea of the advanced methods]"," ""Vibe code"" outcomes [I could critically evaluate the appropriateness of those methods]"," ""Vibe code"" outcomes [I would be able to reproduce the analysis later with notes]",Clarity of instructions on AI use ,Where more support would help ,Suggested changes for future offerings,Overall effectiveness of AI in this course ,Likelihood to recommend AI use in similar courses ,Final comments and suggestions
"Yes, I consent to participate in this survey",None,I tried it once or twice,Extremely helpful,Extremely helpful,Extremely helpful,Very helpful,Very helpful,Very helpful,Extremely helpful,Extremely helpful,A lot of the time I asked AI to help explain certain coding functions or I would ask them why I am getting the error message I am getting when rendering my lab and that's helped me learn from why I can't write the code in certain ways So AI has definitely helped me improve my coding syntax so that less errors come up when I render my labs  ,"Sometimes when prompting AI with my questions, I've learned that you have to craft the question very specifically in order for them to give generally what you're looking for The times that I have found AI giving unhelpful responses is when I don't prompt it correctly and sometimes it will give me an answer/code that uses a library or code function that we have not learned or not part of the lesson we are working on",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Higher,1-2 hrs,Agree,Agree,Agree,Agree,Strongly agree,Rarely,"Ran and tested the code in R, Checked documentation or help pages, Asked follow-up questions to the AI, Consulted classmates, Consulted the instructor",Misinterpretation of MAG/soil data,Agree,Neutral,Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Much more engaged,Agree,Agree,Strongly agree,Strongly agree,Strong agree,Strong agree,Strong agree,Strong agree,Very clear,"Prompting strategies, Debugging with AI, Advanced analyses","I think when starting with AI sometimes it's easy to just copy and paste the question we're asked, but I think it would be helpful to start off with examples of how we can prompt AI to guide us in answering our problems ",10,10,"I think the integration of AI is helpful in beginner courses as sometimes AI has a good way to ""dumb"" things down almost to explain why the code produces the output that it does Sometimes having a conversation with AI helps the learner understand a lot more than just reading the textbook because sometimes we need more examples than just the ones provided to see what the concept is trying to show us "
"Yes, I consent to participate in this survey",Some (one course or self-study),A few times per week,Extremely helpful,Extremely helpful,Very helpful,Moderately helpful,Moderately helpful,Slightly helpful,Moderately helpful,Moderately helpful,"AI was very good at telling me what an error message meant, provided that I gave them the exact error message R was giving me AI would often explain what the error message meant and then provide multiple common ways to solve this problem",When combining data frames I found that using AI wasn't as helpful as just referring back to the module AI would overcomplicate things and sometimes I would lose some of my data,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Higher,3+ hrs,Strongly agree,Agree,Agree,Strongly agree,Agree,Rarely,"Ran and tested the code in R, Asked follow-up questions to the AI, Consulted classmates, Consulted the instructor","Overcomplicated solutions, Misinterpretation of MAG/soil data",Disagree,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Slightly more engaged,Agree,Agree,Neutral,Agree,Strong agree,Strong agree,Agree,Agree,Clear,Ethics & citation,,8,9,
"Yes, I consent to participate in this survey",None,Daily,Extremely helpful,Extremely helpful,Extremely helpful,Extremely helpful,Extremely helpful,Slightly helpful,Very helpful,Extremely helpful,When an error occurs it will explain my error to me and give me code to correct it ,AI isnt the best at helping with MAG data or anything in terms of troubleshooting for working directory,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Higher,3+ hrs,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Rarely,"Ran and tested the code in R, Checked documentation or help pages, Asked follow-up questions to the AI","Hallucinated functions or packages, Incorrect R syntax or arguments, Misinterpretation of MAG/soil data",Strongly agree,Agree,Neutral,Agree,Neutral,Strongly agree,Agree,Strongly agree,Much more engaged,Neutral,Neutral,Strongly agree,Strongly agree,Strong agree,Strong agree,Strong agree,Strong agree,Very clear,"Debugging with AI, Integrating AI with R, Advanced analyses",n/a,10,10,helped me feel like i could confidently code if asked to
"Yes, I consent to participate in this survey",None,A few times per week,Extremely helpful,Extremely helpful,Extremely helpful,Extremely helpful,Extremely helpful,Extremely helpful,Extremely helpful,Extremely helpful,"-producing helpful explanations when codes do not run, providing simple code fixes",AI responses that don't provide a code or give super complicated unrunnable codes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Higher,05-1 hrs,Neutral,Agree,Agree,Agree,Agree,Sometimes,"Ran and tested the code in R, Asked follow-up questions to the AI, Consulted classmates, Consulted the instructor, Ignored or discarded AI suggestions","Incorrect R syntax or arguments, Overcomplicated solutions, Misinterpretation of MAG/soil data, Confident but unsupported claims",Agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly more engaged,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Neutral,Neutral,Very clear,"Debugging with AI, Verifying AI output, Ethics & citation, Integrating AI with R","I would not say change anything but maybe more AI use towards the end of a specific subject so students have time to actually learn about the topic (ex No AI use allowed monday(introduxe topic), AI use allowed in wednesday labs",9,9,"Loved this class, Dr Blanchard was super helpful and made coding seem fun even though I have never liked to code Love AI, makes sense for coding courses do not get rid of it completely "
"Yes, I consent to participate in this survey",None,A few times per week,Extremely helpful,Very helpful,Extremely helpful,Extremely helpful,Extremely helpful,Extremely helpful,Very helpful,Moderately helpful,AI was able to come up analyses and graphs for the data that I never would have thought of It also provided the code for each analysis which was very helpful when trying to reproduce the graph in RStudio,"AI is very prompt-specific, so if a prompt does not reflect exactly what the person wants, it takes a lot of back and forth between the AI and the person to get a good result",Agree,Agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Higher,1-2 hrs,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Sometimes,"Ran and tested the code in R, Checked documentation or help pages, Asked follow-up questions to the AI, Consulted classmates, Consulted the instructor","Incorrect R syntax or arguments, Overcomplicated solutions, Confident but unsupported claims",Agree,Strongly agree,Agree,Strongly agree,Neutral,Neutral,Agree,Agree,Slightly more engaged,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Agree,Clear,"Prompting strategies, Debugging with AI, Verifying AI output, Ethics & citation, Integrating AI with R",Incorporating learning R code without AI first would help give students a baseline of what R code should look and function like without having to rely on AI too much,8,5,"I enjoyed this class and performed analyses I never would have thought of without AI suggestions I would have liked to learn coding without AI first to establish a foundation, but ultimately, using AI allowed me to complete a lot more work and understand more functions in R code "
"Yes, I consent to participate in this survey",None,Daily,Extremely helpful,Moderately helpful,Slightly helpful,Very helpful,Very helpful,Not helpful,Not helpful,Not helpful,I frequently would give copilot what I said and the error code and it would then bold what it changes and why ,sometimes it gives wrong names for column,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Disagree,Strongly disagree,Higher,3+ hrs,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Sometimes,"Ran and tested the code in R, Asked follow-up questions to the AI","Misinterpretation of MAG/soil data, Confident but unsupported claims",Disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Slightly more engaged,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,"Prompting strategies, Verifying AI output, Ethics & citation",maybe not allow AI until a little further into the course and making the assignments not so full so that we could focus on learning rather than just getting all the assignments and examples and then exercises done  ,9,8,I would not have been able to complete this class without the assistance of AI and if you want to continue to have a large workload AI is 100% necessary and is helpful It is more on the individual student themselves to actually make sure we learn the content rather than just copy and pasting 
"Yes, I consent to participate in this survey",None,A few times per week,Extremely helpful,Extremely helpful,Extremely helpful,Extremely helpful,Extremely helpful,Extremely helpful,Extremely helpful,Extremely helpful,Once I was supposed to run a code to make graphs in a certain way but I wasn't really sure on how to do that AI helped me brainstorm ways to make my code run the way I needed it to,Sometimes when I would get an error in my code I was ask AI what I did wrong and how I can fix It and most of the time it did help me but sometimes it would act up and not really give me proper guidance in what needed to be done ,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Higher,2-3 hrs,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Sometimes,"Ran and tested the code in R, Checked documentation or help pages, Asked follow-up questions to the AI","Hallucinated functions or packages, Misinterpretation of MAG/soil data",Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly more engaged,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Clear,"Debugging with AI, Verifying AI output, Advanced analyses",Using AI and giving it some background before asking questions so it has the knowledge to help instead of pulling information from places that are irreverent to the person using it,10,10,"With zero knowledge of coding when coming into this class, AI helped me learn things along the way and made my life so much easier "
"Yes, I consent to participate in this survey",Very limited (a few tutorials or labs),A few times per week,Moderately helpful,Very helpful,Moderately helpful,Moderately helpful,Moderately helpful,Moderately helpful,Very helpful,Slightly helpful,I asked it how to create a pie chart and it described it for me Another thing was to make a graph that was interactive so when your mouse hovers over a point you see what it is ,AI telling me to install and load new libraries when I don't even need them,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Higher,2-3 hrs,Agree,Agree,Neutral,Agree,Agree,Sometimes,Asked follow-up questions to the AI,"Hallucinated functions or packages, Overcomplicated solutions",Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Slightly less engaged,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Clear,"Debugging with AI, Verifying AI output, Ethics & citation, Advanced analyses",Nothing right now,7,7,No comments
"Yes, I consent to participate in this survey",None,Daily,Extremely helpful,Moderately helpful,Moderately helpful,Slightly helpful,Extremely helpful,Extremely helpful,Moderately helpful,Very helpful,"One that integrated the suggested code in its response, and followed that with an explanation of why the code worked Another common one was when I reached an issue with one of my code chunks it would correct the issue and explain why my code wasn't working ",It would occasionally give me a code that wouldn't run or it wouldn't explain why a certain code wasn't working ,Neutral,Disagree,Agree,Agree,Strongly agree,Disagree,Neutral,Disagree,Disagree,Strongly disagree,Much higher,3+ hrs,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Sometimes,"Asked follow-up questions to the AI, Consulted classmates, Consulted the instructor","Overcomplicated solutions, Other - Code with absent graphs",Agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Slightly more engaged,Disagree,Strongly agree,Strongly agree,Strongly agree,Strong agree,Strong agree,Strong agree,Neutral,Very clear,Ethics & citation,The class relied too heavily on AI I think it would have been helpful to have the first couple of weeks without AI so we could learn the basics of R before delving into more complicated analysis with AI Also I felt that I didn't learn how to properly cite AI sources with respect to a coding assignment ,8,8,"Good course to introduce someone to the use of AI in R, but would have been helpful/interesting to learn some of the basics beforehand "
"Yes, I consent to participate in this survey",Very limited (a few tutorials or labs),Daily,Very helpful,Extremely helpful,Very helpful,Moderately helpful,Moderately helpful,Moderately helpful,Very helpful,Slightly helpful,"Giving an example of the code and then explainging what each part does, making it easy to know what use/add to get the product i needed",giving just example code with no explanation ,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Agree,Higher,3+ hrs,Agree,Agree,Disagree,Neutral,Neutral,Sometimes,"Ran and tested the code in R, Checked documentation or help pages, Asked follow-up questions to the AI, Consulted classmates","Hallucinated functions or packages, Incorrect R syntax or arguments, Overcomplicated solutions, Misinterpretation of MAG/soil data",Neutral,Neutral,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Much more engaged,Neutral,Agree,Strongly agree,Agree,Agree,Strong agree,Agree,Agree,Clear,"Debugging with AI, Verifying AI output, Ethics & citation",,7,8,"Without the help of AI, I don't think I would've been able to complete this course at all, honestly Coding is just extremely hard for me, and using Copilot really helped to break it down into manageable chunks to learn/use"
