GOLD Project ID,Project Name,Project Status,Add Date,Sequencing Strategy
Gp0882681 ,"Freshwater biofilm microbial communities from Blacktail Deer Creek NEON Field Site, Mammoth, YNP, WY, USA - BLDE.20240722.EPILITHON.7.POOL ",Incomplete ,2025-10-03,Metagenome
Gp0882682 ,"Freshwater biofilm microbial communities from Blacktail Deer Creek NEON Field Site, Mammoth, YNP, WY, USA - BLDE.20240722.EPILITHON.8.POOL ",Incomplete ,2025-10-03,Metagenome
Gp0812725 ,"Freshwater biofilm microbial communities from Blue River NEON Field Site, Connerville, Oklahoma, USA - BLUE.20230726.EPILITHON.1.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0812726 ,"Freshwater biofilm microbial communities from Blue River NEON Field Site, Connerville, Oklahoma, USA - BLUE.20230726.EPILITHON.2.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0812727 ,"Freshwater biofilm microbial communities from Blue River NEON Field Site, Connerville, Oklahoma, USA - BLUE.20230726.EPILITHON.4.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0812728 ,"Freshwater biofilm microbial communities from Blue River NEON Field Site, Connerville, Oklahoma, USA - BLUE.20230726.EPILITHON.5.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0812729 ,"Freshwater biofilm microbial communities from Blue River NEON Field Site, Connerville, Oklahoma, USA - BLUE.20230726.EPILITHON.6.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0812730 ,"Freshwater biofilm microbial communities from Blue River NEON Field Site, Connerville, Oklahoma, USA - BLUE.20230726.EPILITHON.7.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0812731 ,"Freshwater biofilm microbial communities from Blue River NEON Field Site, Connerville, Oklahoma, USA - BLUE.20230726.EPILITHON.8.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0823180 ,"Freshwater biofilm microbial communities from Blue River NEON Field Site, Connerville, Oklahoma, USA - BLUE.20231016.EPILITHON.1.DNA-DNA1 ",Permanent Draft ,2024-09-18,Metagenome
Gp0879016 ,"Freshwater biofilm microbial communities from Blue River NEON Field Site, Connerville, Oklahoma, USA - BLUE.20240717.EPILITHON.1.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0879017 ,"Freshwater biofilm microbial communities from Blue River NEON Field Site, Connerville, Oklahoma, USA - BLUE.20240717.EPILITHON.2.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0879018 ,"Freshwater biofilm microbial communities from Blue River NEON Field Site, Connerville, Oklahoma, USA - BLUE.20240717.EPILITHON.3.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0879019 ,"Freshwater biofilm microbial communities from Blue River NEON Field Site, Connerville, Oklahoma, USA - BLUE.20240717.EPILITHON.4.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0882647 ,"Freshwater biofilm microbial communities from Blue River NEON Field Site, Connerville, Oklahoma, USA - BLUE.20240717.EPILITHON.5.MET-DNA1 ",Incomplete ,2025-10-03,Metagenome
Gp0879020 ,"Freshwater biofilm microbial communities from Blue River NEON Field Site, Connerville, Oklahoma, USA - BLUE.20240717.EPILITHON.6.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0882648 ,"Freshwater biofilm microbial communities from Blue River NEON Field Site, Connerville, Oklahoma, USA - BLUE.20240717.EPILITHON.7.MET-DNA1 ",Incomplete ,2025-10-03,Metagenome
Gp0879021 ,"Freshwater biofilm microbial communities from Blue River NEON Field Site, Connerville, Oklahoma, USA - BLUE.20240717.EPILITHON.8.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0882688 ,"Freshwater biofilm microbial communities from Caribou Creek NEON Field Site, Chatanika, Alaska, USA - CARI.20240711.EPILITHON.1.POOL ",Incomplete ,2025-10-03,Metagenome
Gp0882689 ,"Freshwater biofilm microbial communities from Caribou Creek NEON Field Site, Chatanika, Alaska, USA - CARI.20240711.EPILITHON.3.POOL ",Incomplete ,2025-10-03,Metagenome
Gp0882690 ,"Freshwater biofilm microbial communities from Caribou Creek NEON Field Site, Chatanika, Alaska, USA - CARI.20240711.EPILITHON.4.POOL ",Incomplete ,2025-10-03,Metagenome
Gp0882691 ,"Freshwater biofilm microbial communities from Caribou Creek NEON Field Site, Chatanika, Alaska, USA - CARI.20240711.EPILITHON.5.POOL ",Incomplete ,2025-10-03,Metagenome
Gp0882693 ,"Freshwater biofilm microbial communities from Caribou Creek NEON Field Site, Chatanika, Alaska, USA - CARI.20240711.EPILITHON.6.MET-DNA1 ",Incomplete ,2025-10-03,Metagenome
Gp0882692 ,"Freshwater biofilm microbial communities from Caribou Creek NEON Field Site, Chatanika, Alaska, USA - CARI.20240711.EPILITHON.7.MET.POOL ",Incomplete ,2025-10-03,Metagenome
Gp0882694 ,"Freshwater biofilm microbial communities from Caribou Creek NEON Field Site, Chatanika, Alaska, USA - CARI.20240711.EPILITHON.8.DNA-DNA1 ",Incomplete ,2025-10-03,Metagenome
Gp0812748 ,"Freshwater biofilm microbial communities from Como Creek NEON Field Site, Ward, CO, USA - COMO.20230808.EPILITHON.1.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0812749 ,"Freshwater biofilm microbial communities from Como Creek NEON Field Site, Ward, CO, USA - COMO.20230808.EPILITHON.2.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0812750 ,"Freshwater biofilm microbial communities from Como Creek NEON Field Site, Ward, CO, USA - COMO.20230808.EPILITHON.3.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0812751 ,"Freshwater biofilm microbial communities from Como Creek NEON Field Site, Ward, CO, USA - COMO.20230808.EPILITHON.4.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0882668 ,"Freshwater biofilm microbial communities from Como Creek NEON Field Site, Ward, CO, USA - COMO.20240806.EPILITHON.1.ARC-DNA1 ",Incomplete ,2025-10-03,Metagenome
Gp0882669 ,"Freshwater biofilm microbial communities from Como Creek NEON Field Site, Ward, CO, USA - COMO.20240806.EPILITHON.2.ARC-DNA1 ",Incomplete ,2025-10-03,Metagenome
Gp0882670 ,"Freshwater biofilm microbial communities from Como Creek NEON Field Site, Ward, CO, USA - COMO.20240806.EPILITHON.3.ARC-DNA1 ",Incomplete ,2025-10-03,Metagenome
Gp0882671 ,"Freshwater biofilm microbial communities from Como Creek NEON Field Site, Ward, CO, USA - COMO.20240806.EPILITHON.4.ARC-DNA1 ",Incomplete ,2025-10-03,Metagenome
Gp0823165 ,"Freshwater biofilm microbial communities from Kings Creek NEON Field Site, Manhattan, Kansas, USA - KING.20230329.EPILITHON.2.DNA-DNA1 ",Permanent Draft ,2024-09-18,Metagenome
Gp0823166 ,"Freshwater biofilm microbial communities from Kings Creek NEON Field Site, Manhattan, Kansas, USA - KING.20230329.EPILITHON.4.DNA-DNA1 ",Permanent Draft ,2024-09-18,Metagenome
Gp0824505 ,"Freshwater biofilm microbial communities from Kings Creek NEON Field Site, Manhattan, Kansas, USA - KING.20230724.EPILITHON.2.DNA-DNA1_v2 ",Permanent Draft ,2024-10-11,Metagenome
Gp0878978 ,"Freshwater biofilm microbial communities from Kings Creek NEON Field Site, Manhattan, Kansas, USA - KING.20240722.EPILITHON.1.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0879064 ,"Freshwater biofilm microbial communities from Kings Creek NEON Field Site, Manhattan, Kansas, USA - KING.20240722.EPILITHON.2.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0878979 ,"Freshwater biofilm microbial communities from Kings Creek NEON Field Site, Manhattan, Kansas, USA - KING.20240722.EPILITHON.3.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0878980 ,"Freshwater biofilm microbial communities from Kings Creek NEON Field Site, Manhattan, Kansas, USA - KING.20240722.EPILITHON.4.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0878981 ,"Freshwater biofilm microbial communities from Kings Creek NEON Field Site, Manhattan, Kansas, USA - KING.20240722.EPILITHON.5.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0878982 ,"Freshwater biofilm microbial communities from Kings Creek NEON Field Site, Manhattan, Kansas, USA - KING.20240722.EPILITHON.6.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0878983 ,"Freshwater biofilm microbial communities from Kings Creek NEON Field Site, Manhattan, Kansas, USA - KING.20240722.EPILITHON.7.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0878984 ,"Freshwater biofilm microbial communities from Kings Creek NEON Field Site, Manhattan, Kansas, USA - KING.20240722.EPILITHON.8.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0823154 ,"Freshwater biofilm microbial communities from Le Conte Creek NEON Field Site, Gatlinburg, TN, USA - LECO.20230329.EPILITHON.4.DNA-DNA1 ",Permanent Draft ,2024-09-18,Metagenome
Gp0823178 ,"Freshwater biofilm microbial communities from Le Conte Creek NEON Field Site, Gatlinburg, TN, USA - LECO.20230906.EPILITHON.4.DNA-DNA1 ",Permanent Draft ,2024-09-18,Metagenome
Gp0823179 ,"Freshwater biofilm microbial communities from Le Conte Creek NEON Field Site, Gatlinburg, TN, USA - LECO.20231018.EPILITHON.3.DNA-DNA1 ",Permanent Draft ,2024-09-18,Metagenome
Gp0879004 ,"Freshwater biofilm microbial communities from Le Conte Creek NEON Field Site, Gatlinburg, TN, USA - LECO.20240711.EPILITHON.1.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0879005 ,"Freshwater biofilm microbial communities from Le Conte Creek NEON Field Site, Gatlinburg, TN, USA - LECO.20240711.EPILITHON.2.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0878985 ,"Freshwater biofilm microbial communities from Le Conte Creek NEON Field Site, Gatlinburg, TN, USA - LECO.20240711.EPILITHON.3.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0878986 ,"Freshwater biofilm microbial communities from Le Conte Creek NEON Field Site, Gatlinburg, TN, USA - LECO.20240711.EPILITHON.4.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0878987 ,"Freshwater biofilm microbial communities from Le Conte Creek NEON Field Site, Gatlinburg, TN, USA - LECO.20240711.EPILITHON.5.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0882650 ,"Freshwater biofilm microbial communities from Le Conte Creek NEON Field Site, Gatlinburg, TN, USA - LECO.20240711.EPIPSAMMON.1.POOL ",Incomplete ,2025-10-03,Metagenome
Gp0882651 ,"Freshwater biofilm microbial communities from Le Conte Creek NEON Field Site, Gatlinburg, TN, USA - LECO.20240711.EPIPSAMMON.2.POOL ",Incomplete ,2025-10-03,Metagenome
Gp0882649 ,"Freshwater biofilm microbial communities from Le Conte Creek NEON Field Site, Gatlinburg, TN, USA - LECO.20240711.EPIPSAMMON.3.DNA-DNA1 ",Incomplete ,2025-10-03,Metagenome
Gp0812745 ,"Freshwater biofilm microbial communities from Lewis Run NEON Field Site, Briggs, Virginia, USA - LEWI.20230726.EPILITHON.1.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0824497 ,"Freshwater biofilm microbial communities from Lewis Run NEON Field Site, Briggs, Virginia, USA - LEWI.20230726.EPILITHON.1.DNA-DNA1_v2 ",Permanent Draft ,2024-10-11,Metagenome
Gp0812746 ,"Freshwater biofilm microbial communities from Lewis Run NEON Field Site, Briggs, Virginia, USA - LEWI.20230726.EPILITHON.2.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0812747 ,"Freshwater biofilm microbial communities from Lewis Run NEON Field Site, Briggs, Virginia, USA - LEWI.20230726.EPILITHON.3.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0824500 ,"Freshwater biofilm microbial communities from Lewis Run NEON Field Site, Briggs, Virginia, USA - LEWI.20230726.EPIPELON.1.DNA-DNA1_v2 ",Permanent Draft ,2024-10-11,Metagenome
Gp0824501 ,"Freshwater biofilm microbial communities from Lewis Run NEON Field Site, Briggs, Virginia, USA - LEWI.20230726.EPIPELON.2.DNA-DNA1_v2 ",Permanent Draft ,2024-10-11,Metagenome
Gp0824502 ,"Freshwater biofilm microbial communities from Lewis Run NEON Field Site, Briggs, Virginia, USA - LEWI.20230726.EPIPELON.3.DNA-DNA1_v2 ",Permanent Draft ,2024-10-11,Metagenome
Gp0879009 ,"Freshwater biofilm microbial communities from Lewis Run NEON Field Site, Briggs, Virginia, USA - LEWI.20240723.EPILITHON.1.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0879010 ,"Freshwater biofilm microbial communities from Lewis Run NEON Field Site, Briggs, Virginia, USA - LEWI.20240723.EPILITHON.3.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0882662 ,"Freshwater biofilm microbial communities from Lewis Run NEON Field Site, Briggs, Virginia, USA - LEWI.20240723.EPIPELON.1.POOL ",Incomplete ,2025-10-03,Metagenome
Gp0882663 ,"Freshwater biofilm microbial communities from Lewis Run NEON Field Site, Briggs, Virginia, USA - LEWI.20240723.EPIPELON.2.POOL ",Incomplete ,2025-10-03,Metagenome
Gp0882664 ,"Freshwater biofilm microbial communities from Lewis Run NEON Field Site, Briggs, Virginia, USA - LEWI.20240723.EPIPELON.3.POOL ",Incomplete ,2025-10-03,Metagenome
Gp0882665 ,"Freshwater biofilm microbial communities from Lewis Run NEON Field Site, Briggs, Virginia, USA - LEWI.20240723.EPIPELON.4.POOL ",Incomplete ,2025-10-03,Metagenome
Gp0882666 ,"Freshwater biofilm microbial communities from Lewis Run NEON Field Site, Briggs, Virginia, USA - LEWI.20240723.EPIPELON.5.POOL ",Incomplete ,2025-10-03,Metagenome
Gp0823155 ,"Freshwater biofilm microbial communities from Lower Hop Brook NEON Field Site, New Salem, MA, USA - HOPB.20230417.EPILITHON.1.DNA-DNA1 ",Permanent Draft ,2024-09-18,Metagenome
Gp0823156 ,"Freshwater biofilm microbial communities from Lower Hop Brook NEON Field Site, New Salem, MA, USA - HOPB.20230417.EPILITHON.5.DNA-DNA1 ",Permanent Draft ,2024-09-18,Metagenome
Gp0879063 ,"Freshwater biofilm microbial communities from Lower Hop Brook NEON Field Site, New Salem, MA, USA - HOPB.20240722.EPILITHON.1.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0878973 ,"Freshwater biofilm microbial communities from Lower Hop Brook NEON Field Site, New Salem, MA, USA - HOPB.20240722.EPILITHON.2.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0878974 ,"Freshwater biofilm microbial communities from Lower Hop Brook NEON Field Site, New Salem, MA, USA - HOPB.20240722.EPILITHON.3.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0878975 ,"Freshwater biofilm microbial communities from Lower Hop Brook NEON Field Site, New Salem, MA, USA - HOPB.20240722.EPILITHON.4.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0878976 ,"Freshwater biofilm microbial communities from Lower Hop Brook NEON Field Site, New Salem, MA, USA - HOPB.20240722.EPILITHON.5.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0882677 ,"Freshwater biofilm microbial communities from Lower Hop Brook NEON Field Site, New Salem, MA, USA - HOPB.20240722.EPIPSAMMON.1.POOL ",Incomplete ,2025-10-03,Metagenome
Gp0882678 ,"Freshwater biofilm microbial communities from Lower Hop Brook NEON Field Site, New Salem, MA, USA - HOPB.20240722.EPIPSAMMON.2.POOL ",Incomplete ,2025-10-03,Metagenome
Gp0882679 ,"Freshwater biofilm microbial communities from Lower Hop Brook NEON Field Site, New Salem, MA, USA - HOPB.20240722.EPIPSAMMON.3.POOL ",Incomplete ,2025-10-03,Metagenome
Gp0812771 ,"Freshwater biofilm microbial communities from Martha Creek NEON Field Site, Stabler, Washington, USA - MART.20230725.EPILITHON.1.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0812772 ,"Freshwater biofilm microbial communities from Martha Creek NEON Field Site, Stabler, Washington, USA - MART.20230725.EPILITHON.2.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0812773 ,"Freshwater biofilm microbial communities from Martha Creek NEON Field Site, Stabler, Washington, USA - MART.20230725.EPILITHON.3.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0812774 ,"Freshwater biofilm microbial communities from Martha Creek NEON Field Site, Stabler, Washington, USA - MART.20230725.EPILITHON.4.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0812775 ,"Freshwater biofilm microbial communities from Martha Creek NEON Field Site, Stabler, Washington, USA - MART.20230725.EPILITHON.5.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0812776 ,"Freshwater biofilm microbial communities from Martha Creek NEON Field Site, Stabler, Washington, USA - MART.20230725.EPILITHON.6.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0812777 ,"Freshwater biofilm microbial communities from Martha Creek NEON Field Site, Stabler, Washington, USA - MART.20230725.EPILITHON.7.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0812778 ,"Freshwater biofilm microbial communities from Martha Creek NEON Field Site, Stabler, Washington, USA - MART.20230725.EPILITHON.8.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0879037 ,"Freshwater biofilm microbial communities from Martha Creek NEON Field Site, Stabler, Washington, USA - MART.20240729.EPILITHON.1.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0879038 ,"Freshwater biofilm microbial communities from Martha Creek NEON Field Site, Stabler, Washington, USA - MART.20240729.EPILITHON.2.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0879039 ,"Freshwater biofilm microbial communities from Martha Creek NEON Field Site, Stabler, Washington, USA - MART.20240729.EPILITHON.3.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0879040 ,"Freshwater biofilm microbial communities from Martha Creek NEON Field Site, Stabler, Washington, USA - MART.20240729.EPILITHON.4.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0879041 ,"Freshwater biofilm microbial communities from Martha Creek NEON Field Site, Stabler, Washington, USA - MART.20240729.EPILITHON.5.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0879042 ,"Freshwater biofilm microbial communities from Martha Creek NEON Field Site, Stabler, Washington, USA - MART.20240729.EPILITHON.6.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0879043 ,"Freshwater biofilm microbial communities from Martha Creek NEON Field Site, Stabler, Washington, USA - MART.20240729.EPILITHON.7.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0879044 ,"Freshwater biofilm microbial communities from Martha Creek NEON Field Site, Stabler, Washington, USA - MART.20240729.EPILITHON.8.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0812718 ,"Freshwater biofilm microbial communities from Mayfield Creek NEON Field Site, Duncanville, Alabama, USA - MAYF.20230717.EPIXYLON.1.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0812719 ,"Freshwater biofilm microbial communities from Mayfield Creek NEON Field Site, Duncanville, Alabama, USA - MAYF.20230717.EPIXYLON.3.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0812720 ,"Freshwater biofilm microbial communities from Mayfield Creek NEON Field Site, Duncanville, Alabama, USA - MAYF.20230717.EPIXYLON.4.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0812721 ,"Freshwater biofilm microbial communities from Mayfield Creek NEON Field Site, Duncanville, Alabama, USA - MAYF.20230717.EPIXYLON.5.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0882630 ,"Freshwater biofilm microbial communities from Mayfield Creek NEON Field Site, Duncanville, Alabama, USA - MAYF.20240730.EPIPSAMMON.1.POOL ",Incomplete ,2025-10-03,Metagenome
Gp0882631 ,"Freshwater biofilm microbial communities from Mayfield Creek NEON Field Site, Duncanville, Alabama, USA - MAYF.20240730.EPIPSAMMON.2.POOL ",Incomplete ,2025-10-03,Metagenome
Gp0882632 ,"Freshwater biofilm microbial communities from Mayfield Creek NEON Field Site, Duncanville, Alabama, USA - MAYF.20240730.EPIPSAMMON.3.POOL ",Incomplete ,2025-10-03,Metagenome
Gp0882625 ,"Freshwater biofilm microbial communities from Mayfield Creek NEON Field Site, Duncanville, Alabama, USA - MAYF.20240730.EPIXYLON.1.POOL ",Incomplete ,2025-10-03,Metagenome
Gp0882626 ,"Freshwater biofilm microbial communities from Mayfield Creek NEON Field Site, Duncanville, Alabama, USA - MAYF.20240730.EPIXYLON.2.POOL ",Incomplete ,2025-10-03,Metagenome
Gp0882627 ,"Freshwater biofilm microbial communities from Mayfield Creek NEON Field Site, Duncanville, Alabama, USA - MAYF.20240730.EPIXYLON.3.POOL ",Incomplete ,2025-10-03,Metagenome
Gp0882628 ,"Freshwater biofilm microbial communities from Mayfield Creek NEON Field Site, Duncanville, Alabama, USA - MAYF.20240730.EPIXYLON.4.POOL ",Incomplete ,2025-10-03,Metagenome
Gp0882629 ,"Freshwater biofilm microbial communities from Mayfield Creek NEON Field Site, Duncanville, Alabama, USA - MAYF.20240730.EPIXYLON.5.POOL ",Incomplete ,2025-10-03,Metagenome
Gp0823167 ,"Freshwater biofilm microbial communities from McDiffett Creek NEON Field Site, Volland, Kansas, USA - MCDI.20230330.EPILITHON.1.DNA-DNA1 ",Permanent Draft ,2024-09-18,Metagenome
Gp0823168 ,"Freshwater biofilm microbial communities from McDiffett Creek NEON Field Site, Volland, Kansas, USA - MCDI.20230330.EPILITHON.3.DNA-DNA1 ",Permanent Draft ,2024-09-18,Metagenome
Gp0878989 ,"Freshwater biofilm microbial communities from McDiffett Creek NEON Field Site, Volland, Kansas, USA - MCDI.20240723.EPILITHON.1.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0878990 ,"Freshwater biofilm microbial communities from McDiffett Creek NEON Field Site, Volland, Kansas, USA - MCDI.20240723.EPILITHON.2.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0878991 ,"Freshwater biofilm microbial communities from McDiffett Creek NEON Field Site, Volland, Kansas, USA - MCDI.20240723.EPILITHON.3.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0878992 ,"Freshwater biofilm microbial communities from McDiffett Creek NEON Field Site, Volland, Kansas, USA - MCDI.20240723.EPILITHON.4.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0882661 ,"Freshwater biofilm microbial communities from McDiffett Creek NEON Field Site, Volland, Kansas, USA - MCDI.20240723.EPILITHON.5.MET-DNA1 ",Incomplete ,2025-10-03,Metagenome
Gp0879008 ,"Freshwater biofilm microbial communities from McDiffett Creek NEON Field Site, Volland, Kansas, USA - MCDI.20240723.EPILITHON.6.POOL ",Incomplete ,2025-09-19,Metagenome
Gp0812755 ,"Freshwater biofilm microbial communities from McRae Creek NEON Field Site, McKenzie Bridge, Oregon, USA - MCRA.20230719.EPILITHON.1.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
Gp0812756 ,"Freshwater biofilm microbial communities from McRae Creek NEON Field Site, McKenzie Bridge, Oregon, USA - MCRA.20230719.EPILITHON.2.DNA-DNA1 ",Permanent Draft ,2024-05-17,Metagenome
