taxon_oid	NCBI Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID	GOLD Study ID	Ecosystem	Ecosystem Category	Ecosystem Subtype	Ecosystem Type	Specific Ecosystem	Latitude	Genome Size  * assembled	Gene Count  * assembled	MetaBAT Bin Count  * assembled	EukCC Bin Count  * assembled	GC  * assembled	Predicted Viruses	Predicted Plasmids
3300040433	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Blandy Experimental Farm, Mid-Atlantic, VA, USA - BLAN_038-M-20170714-COMP-DNA1	Battelle Memorial Institute	3300040433	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Farm	39.06026	4137155	13295	0	0	63.22	4	0
3300070500	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Smithsonian Conservation Biology Institute, Virginia, USA - SCBI_067-M-20190730-COMP-DNA1	Battelle Memorial Institute	3300070500	Gs0144570	Environmental	Terrestrial	Forest	Soil	Unclassified	38.893949	1338181	4489	0	0	59.46		
3300040704	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Harvard Forest, Northeast, MA, USA - HARV_001-M-20130709-COMP-DNA1	Argonne National Laboratory	3300040704	Gs0144570	Environmental	Terrestrial	Temperate forest	Soil	Bulk soil	42.5369	1022555	2870	0	0	58.13	0	0
3300069432	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Rocky Mountain National Park, Central Plains, CO, USA - RMNP_019-M-20170807-COMP-DNA1 re-annotation	Battelle Memorial Institute	3300069432	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	40.27591	6078943	18737	0	0	59.7		
3300040163	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from UNDERC, Great Lakes, MI, USA - UNDE_001-O-20160809-COMP-DNA1	Battelle Memorial Institute	3300040163	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	46.23388	8737954	25956	0	0	61.2	0	0
3300069518	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Great Smoky Mountains National Park, TN, USA - GRSM_016-O-20170717-COMP-DNA1 re-annotation	Battelle Memorial Institute	3300069518	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	35.68896	16964794	53409	0	0	59.37		
3300040398	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from UNDERC, Great Lakes, MI, USA - UNDE_034-O-20160811-COMP-DNA1	Battelle Memorial Institute	3300040398	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	46.23388	5429090	16209	0	0	59.67	9	0
3300069425	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Ordway-Swisher Biological Station, Southeast, FL, USA - OSBS_004-M-20130726-COMP-DNA1 re-annotation	Argonne National Laboratory	3300069425	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	29.68927	12198786	37983	0	0	57.13		
3300070699	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Konza Prairie Biological Station, Kansas, USA - KONZ_003-M-20190715-COMP-DNA1	Battelle Memorial Institute	3300070699	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	39.088076	960933	3212	0	0	62.47		
3300066294	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Harvard Forest, Northeast, MA, USA - HARV_013-M-20130709-COMP-DNA1 re-annotation	Argonne National Laboratory	3300066294	Gs0144570	Environmental	Terrestrial	Temperate forest	Soil	Bulk soil	42.5369	2339365	7941	0	0	60.69		
3300040314	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Jornada LTER, Desert Southwest, NM, USA - JORN_002-M-20170808-COMP-DNA1	Battelle Memorial Institute	3300040314	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Desert	32.59068	5397982	15220	0	0	70.89	0	0
3300070929	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Guanica Forest, Puerto Rico, USA - GUAN_002-M-20190930-COMP-DNA1	Battelle Memorial Institute	3300070929	Gs0144570	Environmental	Terrestrial	Forest	Soil	Unclassified	17.970294	8075275	24274	0	0	68.01		
3300040183	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Onaqui, Great Basin, UT, USA - ONAQ_010-M-20170627-COMP-DNA1	Battelle Memorial Institute	3300040183	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	40.17759	8127293	16830	1	0	60.93	0	0
3300069426	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Ordway-Swisher Biological Station, Southeast, FL, USA - OSBS_002-M-20130726-COMP-DNA1 re-annotation	Argonne National Laboratory	3300069426	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	29.68927	9096388	24928	0	0	52.9		
3300040143	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Onaqui, Great Basin, UT, USA - ONAQ_010-M-20160729-COMP-DNA1	Battelle Memorial Institute	3300040143	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	40.17759	10760523	32342	0	0	64.67	0	0
3300069557	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Niwot Ridge Mountain Research Station, Southern Rockies & Colorado Plateau, CO, USA - NIWO_041-O-20160828-COMP-DNA1 re-annotation	Battelle Memorial Institute	3300069557	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	40.05425	9575552	30901	0	0	63.47		
3300039784	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Disney Wilderness Preserve, Southeast, FL, USA - DSNY_009-M-20140327-COMP-DNA1	Argonne National Laboratory	3300039784	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	28.12504	36510369	103484	0	0	61.19	0	0
3300039744	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Klemme Range Research Station, Southern Plains, OK, USA - OAES_003-M-20170627-COMP-DNA1	Battelle Memorial Institute	3300039744	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	35.41059	40489438	95134	1	0	68.58	2	0
3300040715	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Talladega National Forest, Ozarks Complex, AL, USA - TALL_051-M-20170614-COMP-DNA1	Battelle Memorial Institute	3300040715	Gs0144570	Environmental	Terrestrial	Temperate forest	Soil	Bulk soil	32.95046	12124706	35297	0	0	61.23	0	0
3300039840	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Abby Road, Pacific Northwest, WA, USA - ABBY_061-M-20170606-COMP-DNA1	Battelle Memorial Institute	3300039840	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	45.76243	27420440	78455	0	0	59.67	0	0
3300040499	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Healy, Taiga, AK, USA - HEAL_004-O-20160802-COMP-DNA1	Battelle Memorial Institute	3300040499	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	63.87569	3504791	10692	0	0	61.46	0	0
3300070836	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Toolik Field Station, Alaska, USA - TOOL_001-O-20180807-COMP-DNA1	Battelle Memorial Institute	3300070836	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	68.585776	698408	2494	0	0	60.17		
3300070330	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Wind River Experimental Forest, Washington, USA - WREF_073-O-20190618-COMP-DNA1	Battelle Memorial Institute	3300070330	Gs0144570	Environmental	Terrestrial	Forest	Soil	Unclassified	45.825842	41462880	122583	0	0	63.77		
3300070345	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Caribou-Poker Creeks Research Watershed, Alaska, USA - BONA_070-M-20190826-COMP-DNA1	Battelle Memorial Institute	3300070345	Gs0144570	Environmental	Terrestrial	Forest	Soil	Unclassified	65.153632	3317201	11018	0	0	60.36		
3300040536	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Niwot Ridge Mountain Research Station, Southern Rockies & Colorado Plateau, CO, USA - STER_004-M-3-10-20130627-GEN-DNA1	Argonne National Laboratory	3300040536	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	40.4619	2900122	9261	0	0	66.5	0	0
3300070764	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Oak Ridge, Tennessee, USA - ORNL_002-M-20190610-COMP-DNA1	Battelle Memorial Institute	3300070764	Gs0144570	Environmental	Terrestrial	Forest	Soil	Unclassified	35.982199	18710	60	0	0	64.98		
3300071022	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Oak Ridge, Tennessee, USA - ORNL_001-M-20200601-COMP-DNA1	Battelle Memorial Institute	3300071022	Gs0144570	Environmental	Terrestrial	Forest	Soil	Unclassified	35.930248	28889703	91164	0	0	59.06		
3300071080	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from San Joaquin Experimental Range, California, USA - SJER_045-M-20210310-COMP-DNA1	Battelle Memorial Institute	3300071080	Gs0144570	Environmental	Terrestrial	Forest	Soil	Unclassified	37.112827	59523	210	0	0	65.65		
3300040305	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Disney Wilderness Preserve, Southeast, FL, USA - DSNY_009-M-4-7-20140910-GEN-DNA1	Argonne National Laboratory	3300040305	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	28.12504	5899229	18261	0	0	61.08	0	0
3300071114	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Treehaven, Wisconsin, USA - TREE_050-M-20200708-COMP-DNA1	Battelle Memorial Institute	3300071114	Gs0144570	Environmental	Terrestrial	Forest	Soil	Unclassified	45.49009	33351319	105630	0	0	59.73		
3300071035	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Oak Ridge, Tennessee, USA - ORNL_053-O-20160727-COMP-DNA1	Battelle Memorial Institute	3300071035	Gs0144570	Environmental	Terrestrial	Forest	Soil	Unclassified	35.965252	27732245	84974	0	0	61.58		
3300070692	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Central Plains Experimental Range, Colorado, USA - CPER_003-M-20210628-COMP-DNA1	Battelle Memorial Institute	3300070692	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	40.818451	997024068	2788991	0	0	65.08		
3300040706	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Healy, Taiga, AK, USA - HEAL_025-O-20160803-COMP-DNA1	Battelle Memorial Institute	3300040706	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	63.87569	2521470	8060	0	0	61.14	0	0
3300071034	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Oak Ridge, Tennessee, USA - ORNL_053-M-20200602-COMP-DNA1	Battelle Memorial Institute	3300071034	Gs0144570	Environmental	Terrestrial	Forest	Soil	Unclassified	35.965252	7041924	23071	0	0	60.88		
3300040231	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Guanica Forest, Atlantic Neotropical, PR, USA - GUAN_042-M-20161004-COMP-DNA1	Battelle Memorial Institute	3300040231	Gs0144570	Environmental	Terrestrial	Temperate forest	Soil	Bulk soil	17.96955	7642079	23036	0	0	65.41	0	0
3300040304	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Steigerwaldt Land Services, Great Lakes, WI, USA - STEI_005-M-20160720-COMP-DNA1	Battelle Memorial Institute	3300040304	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	45.50894	5959646	17135	0	0	60.29	0	0
3300040101	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Jones Ecological Research Center, Southeast, GA, USA - JERC_002-M-20170725-COMP-DNA1	Battelle Memorial Institute	3300040101	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	31.19484	12256328	35022	0	0	58.01	0	0
3300040354	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Disney Wilderness Preserve, Southeast, FL, USA - DSNY_004-O-20170829-COMP-DNA1	Battelle Memorial Institute	3300040354	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	28.12504	4246211	11994	0	0	65.97	0	0
3300070936	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Guanica Forest, Puerto Rico, USA - GUAN_043-M-20180927-COMP-DNA1	Battelle Memorial Institute	3300070936	Gs0144570	Environmental	Terrestrial	Forest	Soil	Unclassified	17.968869	848275	2743	0	0	64.12		
3300040670	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Niwot Ridge Mountain Research Station, Southern Rockies & Colorado Plateau, CO, USA - STER_004-M-20140325-COMP-DNA1	Argonne National Laboratory	3300040670	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	40.4619	1345728	4136	0	0	66.25	0	0
3300069558	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Niwot Ridge Mountain Research Station, Southern Rockies & Colorado Plateau, CO, USA - NIWO_004-O-20160828-COMP-DNA1 re-annotation	Battelle Memorial Institute	3300069558	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	40.05425	20108641	63718	0	0	61.08		
3300070344	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Wind River Experimental Forest, Washington, USA - WREF_072-O-20200715-COMP-DNA1	Battelle Memorial Institute	3300070344	Gs0144570	Environmental	Terrestrial	Forest	Soil	Unclassified	45.824274	34580037	102336	0	0	58.58		
3300070384	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Harvard Forest , Massachusetts, USA - HARV_013-O-20160803-COMP-DNA3	Battelle Memorial Institute	3300070384	Gs0144570	Environmental	Terrestrial	Forest	Soil	Unclassified	42.392282	3522848	11973	0	0	62.84		
3300070786	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Puu Makaala Natural Area Reserve, Hawaii, USA - PUUM_014-O-20190107-COMP-DNA1	Battelle Memorial Institute	3300070786	Gs0144570	Environmental	Terrestrial	Forest	Soil	Unclassified	19.587494	51328711	160053	0	0	62.88		
3300070746	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Niwot Ridge, Colorado, USA - NIWO_043-O-20160828-COMP-DNA1	Battelle Memorial Institute	3300070746	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	40.05465	31232077	93296	0	0	64.82		
3300040631	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Niwot Ridge Mountain Research Station, Southern Rockies & Colorado Plateau, CO, USA - STER_004-M-20131217-COMP-DNA1	Argonne National Laboratory	3300040631	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	40.4619	1212482	4227	0	0	61.8	0	0
3300070510	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from San Joaquin Experimental Range, California, USA - SJER_005-M-20190312-COMP-DNA1	Battelle Memorial Institute	3300070510	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	37.1235	1061982	3546	0	0	64.6		
3300039834	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Central Plains Experimental Range, Central Plains, CO, USA - CPER_005-M-20170710-COMP-DNA1	Battelle Memorial Institute	3300039834	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	40.81553	28733371	76923	0	0	62.62	4	0
3300040316	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Central Plains Experimental Range, Central Plains, CO, USA - CPER_048-M-20170710-COMP-DNA1	Battelle Memorial Institute	3300040316	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	40.81553	5197733	14936	0	0	71.44	0	0
3300069596	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Soaproot Saddle, Pacific Southwest, CA, USA - SOAP_004-M-20180530-COMP-DNA1 re-annotation	Battelle Memorial Institute	3300069596	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	37.03337	17943345	56627	0	0	63.4		
3300070292	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Disney Wilderness Preserve, Florida, USA - DSNY_044-M-20160712-COMP-DNA3	Battelle Memorial Institute	3300070292	Gs0144570	Environmental	Terrestrial	Grasslands	Soil	Pasture	28.126189	5408180	16762	0	0	65.02		
3300039766	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Harvard Forest, Northeast, MA, USA - HARV_035-O-20170801-COMP-DNA1	Battelle Memorial Institute	3300039766	Gs0144570	Environmental	Terrestrial	Temperate forest	Soil	Bulk soil	42.5369	40963495	114564	0	0	60.87	3	0
3300070829	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Talladega National Forest, Alabama, USA - TALL_007-M-20200708-COMP-DNA1	Battelle Memorial Institute	3300070829	Gs0144570	Environmental	Terrestrial	Forest	Soil	Unclassified	32.974426	11613856	37247	0	0	58.36		
3300069372	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Lajas Experimental Station, Atlantic Neotropical, PR, USA - LAJA_046-M-20160920-COMP-DNA1 re-annotation	Battelle Memorial Institute	3300069372	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	18.02125	11099424	35616	0	0	68.31		
3300040529	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Woodworth, Northern Plains, ND, USA - WOOD_003-M-20140702-COMP-DNA1	Argonne National Laboratory	3300040529	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	47.12823	3169828	8844	0	0	67.53	1	0
3300040270	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Rocky Mountain National Park, Central Plains, CO, USA - RMNP_013-O-20170807-COMP-DNA1	Battelle Memorial Institute	3300040270	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	40.27591	7524353	17487	0	0	60.67	1	0
3300039786	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Steigerwaldt Land Services, Great Lakes, WI, USA - STEI_003-M-20170705-COMP-DNA1	Battelle Memorial Institute	3300039786	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	45.50894	35813156	99004	0	0	61.93	1	0
3300071104	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Talladega National Forest, Alabama, USA - TALL_044-M-20200707-COMP-DNA1	Battelle Memorial Institute	3300071104	Gs0144570	Environmental	Terrestrial	Forest	Soil	Unclassified	32.952869	7824548	25550	0	0	59.43		
3300040315	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Disney Wilderness Preserve, Southeast, FL, USA - DSNY_009-M-20140910-COMP-DNA1	Argonne National Laboratory	3300040315	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	28.12504	5398202	16752	0	0	60.57	0	0
3300039936	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Guanica Forest, Atlantic Neotropical, PR, USA - GUAN_049-M-20161004-COMP-DNA1	Battelle Memorial Institute	3300039936	Gs0144570	Environmental	Terrestrial	Temperate forest	Soil	Bulk soil	17.96955	20553651	57613	0	0	68.87	0	0
3300071029	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Oak Ridge, Tennessee, USA - ORNL_046-M-20200602-COMP-DNA1	Battelle Memorial Institute	3300071029	Gs0144570	Environmental	Terrestrial	Forest	Soil	Unclassified	35.964418	10046264	32614	0	0	59.53		
3300070771	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Oak Ridge, Tennessee, USA - ORNL_043-M-20200602-COMP-DNA1	Battelle Memorial Institute	3300070771	Gs0144570	Environmental	Terrestrial	Forest	Soil	Unclassified	35.963926	33077236	102809	0	0	59.56		
3300069424	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various locations - NEON	Terrestrial soil microbial communities from Ordway-Swisher Biological Station, Southeast, FL, USA - OSBS_003-M-20130726-COMP-DNA1 re-annotation	Argonne National Laboratory	3300069424	Gs0144570	Environmental	Terrestrial	Unclassified	Soil	Unclassified	29.68927	4724384	14872	0	0	57.59		
