gold_project_id,site,sample_name,site_ID,date,layer,subplot,project_status,add_date,sequencing_strategy,community,type,sample_unknown,quadrant,year
Gp0869078,"The Jones Center At Ichauway NEON Field site, Baker County, Georgia, USA",JERC_002-M-20240716,JERC,2024-07-16,M,002,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869077,"The Jones Center At Ichauway NEON Field site, Baker County, Georgia, USA",JERC_001-M-20240717,JERC,2024-07-17,M,001,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869076,"Ordway-Swisher Biological Station NEON Field site, Putman County, Florida, USA",OSBS_063-M-20240710,OSBS,2024-07-10,M,063,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869075,"Ordway-Swisher Biological Station NEON Field site, Putman County, Florida, USA",OSBS_027-M-20240708,OSBS,2024-07-08,M,027,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869074,"Ordway-Swisher Biological Station NEON Field site, Putman County, Florida, USA",OSBS_026-M-20240708,OSBS,2024-07-08,M,026,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869073,"Ordway-Swisher Biological Station NEON Field site, Putman County, Florida, USA",OSBS_005-O-20240710,OSBS,2024-07-10,O,005,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869072,"Ordway-Swisher Biological Station NEON Field site, Putman County, Florida, USA",OSBS_004-M-20240710,OSBS,2024-07-10,M,004,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869071,"Ordway-Swisher Biological Station NEON Field site, Putman County, Florida, USA",OSBS_003-M-20240710,OSBS,2024-07-10,M,003,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869070,"Ordway-Swisher Biological Station NEON Field site, Putman County, Florida, USA",OSBS_002-M-20240710,OSBS,2024-07-10,M,002,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869069,"Ordway-Swisher Biological Station NEON Field site, Putman County, Florida, USA",OSBS_001-O-20240710,OSBS,2024-07-10,O,001,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869068,"Ordway-Swisher Biological Station NEON Field site, Putman County, Florida, USA",OSBS_001-M-20240710,OSBS,2024-07-10,M,001,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869067,"Guanica Dry Forest Reserve NEON Field site, Puerto Rico, USA",GUAN_049-M-20240903,GUAN,2024-09-03,M,049,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869066,"Guanica Dry Forest Reserve NEON Field site, Puerto Rico, USA",GUAN_048-M-20240903,GUAN,2024-09-03,M,048,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869065,"Guanica Dry Forest Reserve NEON Field site, Puerto Rico, USA",GUAN_043-M-20240829,GUAN,2024-08-29,M,043,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869064,"Guanica Dry Forest Reserve NEON Field site, Puerto Rico, USA",GUAN_042-M-20240902,GUAN,2024-09-02,M,042,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869063,"Guanica Dry Forest Reserve NEON Field site, Puerto Rico, USA",GUAN_007-M-20240905,GUAN,2024-09-05,M,007,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869062,"Guanica Dry Forest Reserve NEON Field site, Puerto Rico, USA",GUAN_006-M-20240904,GUAN,2024-09-04,M,006,Incomplete,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869061,"Guanica Dry Forest Reserve NEON Field site, Puerto Rico, USA",GUAN_004-M-20240904,GUAN,2024-09-04,M,004,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869060,"Guanica Dry Forest Reserve NEON Field site, Puerto Rico, USA",GUAN_003-M-20240829,GUAN,2024-08-29,M,003,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869059,"Guanica Dry Forest Reserve NEON Field site, Puerto Rico, USA",GUAN_002-M-20240903,GUAN,2024-09-03,M,002,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869058,"Guanica Dry Forest Reserve NEON Field site, Puerto Rico, USA",GUAN_001-M-20240903,GUAN,2024-09-03,M,001,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869057,"Santa Rita Experimental Range NEON Field Site, Arizona, USA",SRER_053-M-20240819,SRER,2024-08-19,M,053,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869056,"Santa Rita Experimental Range NEON Field Site, Arizona, USA",SRER_006-M-20240819,SRER,2024-08-19,M,006,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869055,"Santa Rita Experimental Range NEON Field Site, Arizona, USA",SRER_005-M-20240820,SRER,2024-08-20,M,005,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869054,"Santa Rita Experimental Range NEON Field Site, Arizona, USA",SRER_004-M-20240820,SRER,2024-08-20,M,004,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869053,"Santa Rita Experimental Range NEON Field Site, Arizona, USA",SRER_002-M-20240820,SRER,2024-08-20,M,002,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869052,"Santa Rita Experimental Range NEON Field Site, Arizona, USA",SRER_001-M-20240820,SRER,2024-08-20,M,001,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869051,"Konza Prairie Biological Station NEON Field site, Manhattan, Kansas, USA",KONZ_046-M-20240722,KONZ,2024-07-22,M,046,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869050,"Konza Prairie Biological Station NEON Field site, Manhattan, Kansas, USA",KONZ_045-M-20240722,KONZ,2024-07-22,M,045,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869049,"Konza Prairie Biological Station NEON Field site, Manhattan, Kansas, USA",KONZ_043-M-20240722,KONZ,2024-07-22,M,043,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869048,"Konza Prairie Biological Station NEON Field site, Manhattan, Kansas, USA",KONZ_042-M-20240722,KONZ,2024-07-22,M,042,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869047,"Konza Prairie Biological Station NEON Field site, Manhattan, Kansas, USA",KONZ_005-M-20240724,KONZ,2024-07-24,M,005,Incomplete,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869046,"Konza Prairie Biological Station NEON Field site, Manhattan, Kansas, USA",KONZ_004-M-20240723,KONZ,2024-07-23,M,004,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869045,"Konza Prairie Biological Station NEON Field site, Manhattan, Kansas, USA",KONZ_003-M-20240724,KONZ,2024-07-24,M,003,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869044,"Konza Prairie Biological Station NEON Field site, Manhattan, Kansas, USA",KONZ_002-M-20240723,KONZ,2024-07-23,M,002,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869043,"Konza Prairie Biological Station NEON Field site, Manhattan, Kansas, USA",KONZ_001-M-20240723,KONZ,2024-07-23,M,001,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869042,"Chase Lake National Wildlife Refuge NEON Field Site, Stutsman County, North Dakota, USA",WOOD_045-M-20240702,WOOD,2024-07-02,M,045,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869041,"Chase Lake National Wildlife Refuge NEON Field Site, Stutsman County, North Dakota, USA",WOOD_043-M-20240702,WOOD,2024-07-02,M,043,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869040,"Chase Lake National Wildlife Refuge NEON Field Site, Stutsman County, North Dakota, USA",WOOD_042-M-20240702,WOOD,2024-07-02,M,042,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869039,"Chase Lake National Wildlife Refuge NEON Field Site, Stutsman County, North Dakota, USA",WOOD_024-M-20240703,WOOD,2024-07-03,M,024,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869038,"Chase Lake National Wildlife Refuge NEON Field Site, Stutsman County, North Dakota, USA",WOOD_005-M-20240703,WOOD,2024-07-03,M,005,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869037,"Chase Lake National Wildlife Refuge NEON Field Site, Stutsman County, North Dakota, USA",WOOD_004-M-20240702,WOOD,2024-07-02,M,004,Incomplete,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869036,"Chase Lake National Wildlife Refuge NEON Field Site, Stutsman County, North Dakota, USA",WOOD_003-M-20240702,WOOD,2024-07-02,M,003,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869035,"Chase Lake National Wildlife Refuge NEON Field Site, Stutsman County, North Dakota, USA",WOOD_002-M-20240702,WOOD,2024-07-02,M,002,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869034,"Chase Lake National Wildlife Refuge NEON Field Site, Stutsman County, North Dakota, USA",WOOD_001-M-20240702,WOOD,2024-07-02,M,001,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869033,"Toolik Field Station NEON Field Site, Alaska, USA",TOOL_044-O-20240717,TOOL,2024-07-17,O,044,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869032,"Toolik Field Station NEON Field Site, Alaska, USA",TOOL_043-O-20240717,TOOL,2024-07-17,O,043,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869031,"Toolik Field Station NEON Field Site, Alaska, USA",TOOL_043-M-20240717,TOOL,2024-07-17,M,043,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869030,"Toolik Field Station NEON Field Site, Alaska, USA",TOOL_042-O-20240717,TOOL,2024-07-17,O,042,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869029,"Toolik Field Station NEON Field Site, Alaska, USA",TOOL_042-M-20240717,TOOL,2024-07-17,M,042,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869028,"Toolik Field Station NEON Field Site, Alaska, USA",TOOL_041-O-20240717,TOOL,2024-07-17,O,041,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869027,"Toolik Field Station NEON Field Site, Alaska, USA",TOOL_041-M-20240717,TOOL,2024-07-17,M,041,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869026,"Toolik Field Station NEON Field Site, Alaska, USA",TOOL_006-O-20240718,TOOL,2024-07-18,O,006,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869025,"Toolik Field Station NEON Field Site, Alaska, USA",TOOL_005-O-20240718,TOOL,2024-07-18,O,005,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869024,"Toolik Field Station NEON Field Site, Alaska, USA",TOOL_005-M-20240718,TOOL,2024-07-18,M,005,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869023,"Toolik Field Station NEON Field Site, Alaska, USA",TOOL_004-O-20240719,TOOL,2024-07-19,O,004,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869022,"Toolik Field Station NEON Field Site, Alaska, USA",TOOL_003-O-20240719,TOOL,2024-07-19,O,003,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869021,"Toolik Field Station NEON Field Site, Alaska, USA",TOOL_003-M-20240719,TOOL,2024-07-19,M,003,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869020,"Toolik Field Station NEON Field Site, Alaska, USA",TOOL_002-O-20240718,TOOL,2024-07-18,O,002,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869019,"Toolik Field Station NEON Field Site, Alaska, USA",TOOL_001-O-20240718,TOOL,2024-07-18,O,001,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869018,"Toolik Field Station NEON Field Site, Alaska, USA",TOOL_001-M-20240718,TOOL,2024-07-18,M,001,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869017,"Oak Ridge NEON Field Station, Tennessee, USA",ORNL_053-M-20240626,ORNL,2024-06-26,M,053,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869016,"Oak Ridge NEON Field Station, Tennessee, USA",ORNL_049-M-20240626,ORNL,2024-06-26,M,049,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869015,"Oak Ridge NEON Field Station, Tennessee, USA",ORNL_046-M-20240626,ORNL,2024-06-26,M,046,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869014,"Oak Ridge NEON Field Station, Tennessee, USA",ORNL_043-M-20240626,ORNL,2024-06-26,M,043,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869013,"Oak Ridge NEON Field Station, Tennessee, USA",ORNL_027-M-20240625,ORNL,2024-06-25,M,027,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869012,"Oak Ridge NEON Field Station, Tennessee, USA",ORNL_006-M-20240625,ORNL,2024-06-25,M,006,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869011,"Oak Ridge NEON Field Station, Tennessee, USA",ORNL_004-M-20240625,ORNL,2024-06-25,M,004,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869010,"Oak Ridge NEON Field Station, Tennessee, USA",ORNL_003-M-20240624,ORNL,2024-06-24,M,003,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869009,"Oak Ridge NEON Field Station, Tennessee, USA",ORNL_002-M-20240624,ORNL,2024-06-24,M,002,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869008,"Oak Ridge NEON Field Station, Tennessee, USA",ORNL_001-M-20240624,ORNL,2024-06-24,M,001,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869007,"Yellowstone National Park NEON Field Site, Wyoming, USA",YELL_052-M-20240806,YELL,2024-08-06,M,052,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869006,"Yellowstone National Park NEON Field Site, Wyoming, USA",YELL_051-M-20240805,YELL,2024-08-05,M,051,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869005,"Yellowstone National Park NEON Field Site, Wyoming, USA",YELL_048-O-20240805,YELL,2024-08-05,O,048,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869004,"Yellowstone National Park NEON Field Site, Wyoming, USA",YELL_048-M-20240805,YELL,2024-08-05,M,048,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869003,"Yellowstone National Park NEON Field Site, Wyoming, USA",YELL_046-M-20240805,YELL,2024-08-05,M,046,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869002,"Yellowstone National Park NEON Field Site, Wyoming, USA",YELL_016-M-20240806,YELL,2024-08-06,M,016,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869001,"Yellowstone National Park NEON Field Site, Wyoming, USA",YELL_012-M-20240806,YELL,2024-08-06,M,012,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0869000,"Yellowstone National Park NEON Field Site, Wyoming, USA",YELL_009-M-20240806,YELL,2024-08-06,M,009,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868999,"Yellowstone National Park NEON Field Site, Wyoming, USA",YELL_005-M-20240806,YELL,2024-08-06,M,005,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868998,"Yellowstone National Park NEON Field Site, Wyoming, USA",YELL_003-M-20240806,YELL,2024-08-06,M,003,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868997,"Yellowstone National Park NEON Field Site, Wyoming, USA",YELL_002-M-20240805,YELL,2024-08-05,M,002,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868996,"University of Notre Dame Environmental Research Center NEON Field Site, Michigan, USA",UNDE_044-O-20240716,UNDE,2024-07-16,O,044,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868995,"University of Notre Dame Environmental Research Center NEON Field Site, Michigan, USA",UNDE_044-M-20240716,UNDE,2024-07-16,M,044,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868994,"University of Notre Dame Environmental Research Center NEON Field Site, Michigan, USA",UNDE_043-M-20240718,UNDE,2024-07-18,M,043,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868993,"University of Notre Dame Environmental Research Center NEON Field Site, Michigan, USA",UNDE_038-O-20240716,UNDE,2024-07-16,O,038,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868992,"University of Notre Dame Environmental Research Center NEON Field Site, Michigan, USA",UNDE_038-M-20240716,UNDE,2024-07-16,M,038,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868991,"University of Notre Dame Environmental Research Center NEON Field Site, Michigan, USA",UNDE_037-O-20240716,UNDE,2024-07-16,O,037,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868990,"University of Notre Dame Environmental Research Center NEON Field Site, Michigan, USA",UNDE_037-M-20240716,UNDE,2024-07-16,M,037,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868989,"University of Notre Dame Environmental Research Center NEON Field Site, Michigan, USA",UNDE_010-O-20240718,UNDE,2024-07-18,O,010,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868988,"University of Notre Dame Environmental Research Center NEON Field Site, Michigan, USA",UNDE_008-M-20240716,UNDE,2024-07-16,M,008,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868987,"University of Notre Dame Environmental Research Center NEON Field Site, Michigan, USA",UNDE_006-M-20240716,UNDE,2024-07-16,M,006,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868986,"University of Notre Dame Environmental Research Center NEON Field Site, Michigan, USA",UNDE_003-M-20240718,UNDE,2024-07-18,M,003,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868985,"University of Notre Dame Environmental Research Center NEON Field Site, Michigan, USA",UNDE_003-O-20240718,UNDE,2024-07-18,O,003,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868984,"University of Notre Dame Environmental Research Center NEON Field Site, Michigan, USA",UNDE_002-O-20240718,UNDE,2024-07-18,O,002,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868983,"University of Notre Dame Environmental Research Center NEON Field Site, Michigan, USA",UNDE_001-O-20240718,UNDE,2024-07-18,O,001,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868982,"University of Notre Dame Environmental Research Center NEON Field Site, Michigan, USA",UNDE_001-M-20240718,UNDE,2024-07-18,M,001,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868981,"Soaproot Saddle NEON Field site, Fresno County, California, USA",SOAP_045-M-20240521,SOAP,2024-05-21,M,045,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868980,"Soaproot Saddle NEON Field site, Fresno County, California, USA",SOAP_043-M-20240523,SOAP,2024-05-23,M,043,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868979,"Soaproot Saddle NEON Field site, Fresno County, California, USA",SOAP_031-M-20240520,SOAP,2024-05-20,M,031,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868978,"Soaproot Saddle NEON Field site, Fresno County, California, USA",SOAP_025-M-20240522,SOAP,2024-05-22,M,025,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868977,"Soaproot Saddle NEON Field site, Fresno County, California, USA",SOAP_007-M-20240522,SOAP,2024-05-22,M,007,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868976,"Soaproot Saddle NEON Field site, Fresno County, California, USA",SOAP_006-M-20240523,SOAP,2024-05-23,M,006,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868975,"Soaproot Saddle NEON Field site, Fresno County, California, USA",SOAP_004-M-20240521,SOAP,2024-05-21,M,004,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868974,"Soaproot Saddle NEON Field site, Fresno County, California, USA",SOAP_003-M-20240520,SOAP,2024-05-20,M,003,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868973,"Soaproot Saddle NEON Field site, Fresno County, California, USA",SOAP_002-M-20240523,SOAP,2024-05-23,M,002,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868972,"Niwot Ridge Mountain Research Station NEON Field site, Boulder County, Colorado, USA",NIWO_043-M-20240724,NIWO,2024-07-24,M,043,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868971,"Niwot Ridge Mountain Research Station NEON Field site, Boulder County, Colorado, USA",NIWO_042-M-20240724,NIWO,2024-07-24,M,042,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868970,"Niwot Ridge Mountain Research Station NEON Field site, Boulder County, Colorado, USA",NIWO_041-O-20240724,NIWO,2024-07-24,O,041,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868969,"Niwot Ridge Mountain Research Station NEON Field site, Boulder County, Colorado, USA",NIWO_041-M-20240724,NIWO,2024-07-24,M,041,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868968,"Niwot Ridge Mountain Research Station NEON Field site, Boulder County, Colorado, USA",NIWO_040-O-20240724,NIWO,2024-07-24,O,040,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868967,"Niwot Ridge Mountain Research Station NEON Field site, Boulder County, Colorado, USA",NIWO_040-M-20240724,NIWO,2024-07-24,M,040,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868966,"Niwot Ridge Mountain Research Station NEON Field site, Boulder County, Colorado, USA",NIWO_006-M-20240722,NIWO,2024-07-22,M,006,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868965,"Niwot Ridge Mountain Research Station NEON Field site, Boulder County, Colorado, USA",NIWO_005-O-20240722,NIWO,2024-07-22,O,005,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868964,"Niwot Ridge Mountain Research Station NEON Field site, Boulder County, Colorado, USA",NIWO_005-M-20240722,NIWO,2024-07-22,M,005,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
Gp0868963,"Niwot Ridge Mountain Research Station NEON Field site, Boulder County, Colorado, USA",NIWO_004-O-20240722,NIWO,2024-07-22,O,004,Permanent Draft,2025-06-27,Metagenome,Soil microbial communities,Soil,NA,NA,2024
